Message Size,KeyGen Mean,KeyGen Std,KeyGen Min,KeyGen Max,Enc Mean,Enc Std,Enc Min,Enc Max,Dec Mean,Dec Std,Dec Min,Dec Max,Ciphertext (B)
16,0.047755,0.002922,0.044638,0.061015,0.096905,0.006414,0.089507,0.124861,0.049193,0.002803,0.045936,0.058610,65
32,0.051220,0.008406,0.042799,0.081324,0.104190,0.015155,0.086734,0.150637,0.052100,0.012258,0.043934,0.124030,65
64,0.055537,0.008819,0.043619,0.074784,0.223624,0.022973,0.191084,0.303547,0.111273,0.012430,0.089263,0.144538,130
128,0.055320,0.008407,0.043721,0.072727,0.430145,0.026815,0.383284,0.486497,0.218895,0.017362,0.179222,0.266046,260
256,0.048818,0.006657,0.042839,0.067550,0.784932,0.068477,0.714303,0.955108,0.394958,0.039239,0.352972,0.486992,520
512,0.044957,0.001583,0.042588,0.053455,1.451296,0.013732,1.428264,1.489129,0.731454,0.015288,0.699451,0.768748,1040
1024,0.072824,0.024297,0.042992,0.141023,4.764171,1.426122,2.889555,7.298577,2.391454,0.785452,1.419663,4.667471,2080
