Scheme,Message Size,Run,KeyGen Time,Enc Time,Dec Time,Ciphertext Size
EC-LWE (RFC9380),16,1,0.0610149004496634,0.09192440006881952,0.04677389981225133,65
EC-LWE (RFC9380),16,2,0.045512800104916096,0.103653599973768,0.05052489973604679,65
EC-LWE (RFC9380),16,3,0.04611760005354881,0.09915350005030632,0.04787430027499795,65
EC-LWE (RFC9380),16,4,0.04877150012180209,0.092573800124228,0.05032060015946627,65
EC-LWE (RFC9380),16,5,0.04663660004734993,0.1031746999360621,0.04971110029146075,65
EC-LWE (RFC9380),16,6,0.04748730035498738,0.09347360022366047,0.04795149993151426,65
EC-LWE (RFC9380),16,7,0.04796339990571141,0.09149890020489693,0.04761729994788766,65
EC-LWE (RFC9380),16,8,0.04487159987911582,0.0960466000251472,0.04660869995132089,65
EC-LWE (RFC9380),16,9,0.04546730034053326,0.09083920018747449,0.04943549958989024,65
EC-LWE (RFC9380),16,10,0.047383599914610386,0.0905135003849864,0.04593589995056391,65
EC-LWE (RFC9380),16,11,0.04676409997045994,0.10554079990833998,0.05860990006476641,65
EC-LWE (RFC9380),16,12,0.049757900182157755,0.09543479979038239,0.04820859991014004,65
EC-LWE (RFC9380),16,13,0.048518599942326546,0.09891149960458279,0.05151430005207658,65
EC-LWE (RFC9380),16,14,0.050609400030225515,0.09674939978867769,0.05059819994494319,65
EC-LWE (RFC9380),16,15,0.04892829991877079,0.09689290029928088,0.04677450004965067,65
EC-LWE (RFC9380),16,16,0.04476730013266206,0.09491740027442575,0.04710269998759031,65
EC-LWE (RFC9380),16,17,0.046115100383758545,0.0976634998805821,0.04596700007095933,65
EC-LWE (RFC9380),16,18,0.046439300291240215,0.09489830024540424,0.04718059999868274,65
EC-LWE (RFC9380),16,19,0.05121929990127683,0.09644680004566908,0.04742139996960759,65
EC-LWE (RFC9380),16,20,0.046595700085163116,0.09849390015006065,0.04674070002511144,65
EC-LWE (RFC9380),16,21,0.04652859969064593,0.10125230019912124,0.04856620030477643,65
EC-LWE (RFC9380),16,22,0.04623760003596544,0.0912474999204278,0.05021290015429258,65
EC-LWE (RFC9380),16,23,0.0546059999614954,0.10091949999332428,0.0535546001046896,65
EC-LWE (RFC9380),16,24,0.05276780016720295,0.0934473997913301,0.04862899985164404,65
EC-LWE (RFC9380),16,25,0.04463750030845404,0.0948481997475028,0.047330299858003855,65
EC-LWE (RFC9380),16,26,0.04535969998687506,0.09575509978458285,0.0485920999199152,65
EC-LWE (RFC9380),16,27,0.04651490040123463,0.08967809984460473,0.046035700011998415,65
EC-LWE (RFC9380),16,28,0.046998600009828806,0.09598249988630414,0.048818400129675865,65
EC-LWE (RFC9380),16,29,0.04548580013215542,0.10787689965218306,0.054027900099754333,65
EC-LWE (RFC9380),16,30,0.04807570017874241,0.09509479999542236,0.052226100116968155,65
EC-LWE (RFC9380),16,31,0.045972200110554695,0.09503309987485409,0.0476565002463758,65
EC-LWE (RFC9380),16,32,0.05036019999533892,0.09504930023103952,0.04877279978245497,65
EC-LWE (RFC9380),16,33,0.04578630020841956,0.09018660010769963,0.05000519985333085,65
EC-LWE (RFC9380),16,34,0.04576499992981553,0.09566590003669262,0.04661880014464259,65
EC-LWE (RFC9380),16,35,0.048234700225293636,0.09874710021540523,0.048196000047028065,65
EC-LWE (RFC9380),16,36,0.04610780021175742,0.09535609977319837,0.04714819975197315,65
EC-LWE (RFC9380),16,37,0.04661160008981824,0.09579609986394644,0.04861429985612631,65
EC-LWE (RFC9380),16,38,0.04695679992437363,0.0925390999764204,0.04623069986701012,65
EC-LWE (RFC9380),16,39,0.0447195996530354,0.09346010023728013,0.04698579991236329,65
EC-LWE (RFC9380),16,40,0.04860789980739355,0.09676750004291534,0.049797500018030405,65
EC-LWE (RFC9380),16,41,0.04733449965715408,0.10272770002484322,0.05519760027527809,65
EC-LWE (RFC9380),16,42,0.0499426000751555,0.09286129986867309,0.04833950009196997,65
EC-LWE (RFC9380),16,43,0.045488600153476,0.09362039994448423,0.04854279989376664,65
EC-LWE (RFC9380),16,44,0.04650220042094588,0.12486129999160767,0.04847809998318553,65
EC-LWE (RFC9380),16,45,0.04775459971278906,0.09374890010803938,0.05653539998456836,65
EC-LWE (RFC9380),16,46,0.052952100057154894,0.09419779991731048,0.047804399859160185,65
EC-LWE (RFC9380),16,47,0.0486568002961576,0.09070220030844212,0.04801220027729869,65
EC-LWE (RFC9380),16,48,0.04687319975346327,0.0895066000521183,0.050153200048953295,65
EC-LWE (RFC9380),16,49,0.04589579999446869,0.10559910023584962,0.054018800146877766,65
EC-LWE (RFC9380),16,50,0.0490858000703156,0.11390830017626286,0.05165360029786825,65
EC-LWE (RFC9380),32,1,0.049698200076818466,0.11264349985867739,0.05087929964065552,65
EC-LWE (RFC9380),32,2,0.04633609997108579,0.0887703001499176,0.04685329971835017,65
EC-LWE (RFC9380),32,3,0.046331599820405245,0.09003379987552762,0.04701450001448393,65
EC-LWE (RFC9380),32,4,0.042798500042408705,0.0952377999201417,0.04458139976486564,65
EC-LWE (RFC9380),32,5,0.04465069994330406,0.09207329992204905,0.045740199740976095,65
EC-LWE (RFC9380),32,6,0.043675499968230724,0.1084109996445477,0.05059870006516576,65
EC-LWE (RFC9380),32,7,0.04474190017208457,0.09241220029070973,0.04565880028530955,65
EC-LWE (RFC9380),32,8,0.045954300090670586,0.09115019999444485,0.046738799661397934,65
EC-LWE (RFC9380),32,9,0.043980199843645096,0.09823230002075434,0.051045000087469816,65
EC-LWE (RFC9380),32,10,0.049002999905496836,0.15063749998807907,0.05356989987194538,65
